"Student_ID","Study_Hours_Per_Day","Extracurricular_Hours_Per_Day","Sleep_Hours_Per_Day","Social_Hours_Per_Day","Physical_Activity_Hours_Per_Day","GPA","Stress_Level","college"
34,8.2,0.7,8.5,2.3,4.3,3.24,"High","Communication"
35,9.7,0.6,6.7,0.7,6.3,3.62,"High","Medicine"
36,9.1,2.2,7.6,1.2,3.9,3.12,"High","Medicine"
37,5.5,3.6,9.5,3.4,2,2.58,"Low","Humanities"
38,8.6,3.6,9.4,1.9,0.5,3.03,"High","Medicine"
39,8.2,0.3,5.8,5.4,4.3,3.29,"High","Medicine"
40,5,0.6,7.7,4.2,6.5,2.61,"Low","Humanities"
41,8.3,0.9,8.6,1.4,4.8,3.48,"High","Humanities"
42,8.2,3.4,8.3,2.3,1.8,3.07,"High","Arts & Sciences"
43,5.5,1.5,6.3,1.5,9.2,2.81,"Low","Communication"
44,9.5,2.5,9,1.5,1.5,3.49,"High","Medicine"
45,7.9,2,6,4.3,3.8,2.97,"Moderate","Education"
46,9.7,3.8,9.6,0.3,0.6,3.55,"High","Education"
47,5.1,3.7,7.1,5.8,2.3,2.6,"Low","Humanities"
48,9.3,1.3,5.8,3.3,4.3,3.09,"High","Medicine"
49,9.7,2.8,7.9,0.3,3.3,3.47,"High","Medicine"
50,9.4,3,8.5,2.2,0.9,3.18,"High","Education"
51,6.8,1.2,9,4.9,2.1,3.12,"Moderate","Medicine"
52,9,2.6,8.5,3.1,0.8,4,"High","Communication"
53,9.5,1.4,6.9,0.6,5.6,3.33,"High","Arts & Sciences"
54,7.3,2.2,6.4,3.5,4.6,3.11,"Moderate","Communication"
55,5.2,0.1,9.1,2.2,7.4,2.79,"Low","Arts & Sciences"
56,8.8,0.9,8.1,0.5,5.7,3.1,"High","Humanities"
57,5.3,2.1,7.7,3.8,5.1,2.39,"Low","Education"
58,9,1.1,7.2,0.5,6.2,3.39,"High","Education"
59,5.1,3.9,9.2,4,1.8,2.52,"Low","Medicine"
60,5.8,1,7.7,4.3,5.2,2.8,"Low","Education"
61,8.3,1.1,9.8,3.5,1.3,3.67,"High","Medicine"
62,7.1,1,6.8,4.5,4.6,3.27,"Moderate","Arts & Sciences"
63,5.1,0.5,5.2,0.2,13,2.85,"High","Medicine"
64,7.4,0.4,7.5,2.8,5.9,3.26,"Moderate","Humanities"
65,5.9,1.7,7,3.7,5.7,2.8,"Low","Arts & Sciences"
66,6.9,2.5,7.5,5.1,2,3.06,"Moderate","Arts & Sciences"
67,8.3,0.7,5.4,3.9,5.7,3.26,"High","Education"
68,9.7,2.3,6.9,3.3,1.8,3.38,"High","Arts & Sciences"
69,7.3,2.2,9.7,1.9,2.9,3.15,"Moderate","Communication"
70,5.4,1.3,9.2,0.1,8,2.69,"Low","Education"
71,9.1,1.1,5.6,4.2,4,3.54,"High","Humanities"
72,8.7,3.2,6.4,1,4.7,3.37,"High","Arts & Sciences"
73,8.8,3.2,10,0.8,1.2,3.58,"High","Humanities"
74,6.7,3.7,9.3,1.8,2.5,2.89,"Moderate","Communication"
75,8.8,3,5.5,5.4,1.3,3.58,"High","Communication"
76,6.6,3.6,6.9,0.1,6.8,2.99,"Moderate","Humanities"
77,9.5,0.4,6.6,5.7,1.8,3.44,"High","Medicine"
78,8.2,1.8,6.5,2,5.5,3.35,"High","Education"
79,8.4,3,9,2.8,0.8,3.26,"High","Arts & Sciences"
80,5.3,2.2,7.2,5.3,4,2.62,"Low","Communication"
81,6.8,0.5,5.7,4.6,6.4,2.86,"High","Communication"
82,5.4,2.8,5.4,4.9,5.5,2.86,"High","Education"
83,8.5,0.3,5.4,5.9,3.9,2.99,"High","Arts & Sciences"
84,9.1,3.8,9.9,0.9,0.3,3.08,"High","Medicine"
85,6.9,0.3,8.9,3.4,4.5,3.21,"Moderate","Communication"
86,5.6,2,5.1,2.8,8.5,2.81,"High","Education"
87,5.3,0.5,5.6,3.9,8.7,2.9,"High","Medicine"
88,9.8,1.5,6.4,5.2,1.1,3.78,"High","Medicine"
89,6.1,3.9,5.1,5.8,3.1,2.96,"High","Medicine"
90,5.4,2.2,9.8,3.1,3.5,2.81,"Low","Humanities"
91,8.1,2.8,7.3,3.6,2.2,3.39,"High","Humanities"
92,5.2,1.1,9.8,5.3,2.6,2.82,"Low","Medicine"
93,7.3,2.5,6.4,1.1,6.7,2.67,"Moderate","Humanities"
94,7.9,0.3,9.9,5.8,0.1,3.08,"Moderate","Arts & Sciences"
95,8.5,2.1,6.5,4.9,2,3.1,"High","Arts & Sciences"
96,9.6,3.3,9.7,1,0.4,3.54,"High","Communication"
97,8.1,1.7,9.7,3.9,0.6,3.45,"High","Communication"
98,9.9,0.6,8,2.1,3.4,3.39,"High","Medicine"
99,9.8,3.4,9.2,0.7,0.9,3.15,"High","Humanities"
100,5.3,3.5,9.1,6,0.1,2.68,"Low","Humanities"
101,10,2.2,8.8,2.8,0.2,3.41,"High","Humanities"
102,7.3,0.5,9.8,3.6,2.8,3.22,"Moderate","Arts & Sciences"
103,6.1,2.7,8.1,2.1,5,2.98,"Moderate","Education"
104,7.6,3.1,7.6,4.9,0.8,2.99,"Moderate","Education"
105,7.8,2.2,9.4,1.9,2.7,3.3,"Moderate","Education"
106,8.5,0.9,5.7,0.1,8.8,3.55,"High","Medicine"
107,6.8,2.4,7,2.6,5.2,2.97,"Moderate","Medicine"
108,7.6,3.1,7,3.7,2.6,3.28,"Moderate","Humanities"
109,9.3,3.8,5.7,4.8,0.4,3.05,"High","Humanities"
110,7.3,3.9,7.5,1.7,3.6,3.08,"Moderate","Education"
111,8.2,1,5.4,0.8,8.6,3.3,"High","Medicine"
112,5.9,1.4,9.5,2.8,4.4,2.7,"Low","Education"
113,8.3,0.7,6,0.2,8.8,3.14,"High","Education"
114,5.9,0.4,5.6,2.8,9.3,2.73,"High","Humanities"
115,6,1.5,7.5,4.1,4.9,2.76,"Moderate","Medicine"
116,9.4,3.7,5.3,1.6,4,3.45,"High","Arts & Sciences"
117,9,3,5.9,1.3,4.8,3.29,"High","Medicine"
118,8.1,1.5,7.3,4.5,2.6,2.75,"High","Humanities"
119,5.2,1,8.6,5.4,3.8,3.4,"Low","Medicine"
120,5.5,1.8,7.7,1.5,7.5,3.05,"Low","Education"
121,6.3,1.5,5.1,1.9,9.2,2.82,"High","Communication"
122,5.6,3.6,8,4.1,2.7,2.62,"Low","Arts & Sciences"
123,8.9,2,5.4,3.2,4.5,3.64,"High","Humanities"
124,7.2,0.5,6.4,2.2,7.7,3.19,"Moderate","Medicine"
125,8.2,2.3,6.8,5.9,0.8,2.95,"High","Medicine"
126,5.5,0.6,6.2,1,10.7,2.94,"Low","Humanities"
127,5.9,1.1,5.9,5.4,5.7,2.89,"High","Arts & Sciences"
128,7.1,3.9,5.6,2.4,5,2.9,"High","Humanities"
129,9.8,3.5,9.1,0.4,1.2,3.57,"High","Humanities"
130,9.6,2.2,7.9,1.2,3.1,3.24,"High","Humanities"
131,8.8,0.7,6.6,2.6,5.3,2.99,"High","Medicine"
132,5.6,2.4,6.4,3.5,6.1,2.85,"Low","Education"
133,5.8,1.9,7.7,0.3,8.3,2.7,"Low","Humanities"
134,5.3,4,6.6,4.9,3.2,2.72,"Low","Arts & Sciences"
135,6.3,2.7,8.8,3.6,2.6,2.45,"Moderate","Humanities"
136,6.7,3.7,9.2,4.2,0.2,2.85,"Moderate","Humanities"
137,5.6,2.9,9.7,1.1,4.7,2.86,"Low","Medicine"
138,7.9,3.4,5.7,4.8,2.2,3.15,"High","Humanities"
139,6,0.7,5.8,4.9,6.6,2.96,"High","Humanities"
140,6.8,3.5,7,4.9,1.8,3.44,"Moderate","Arts & Sciences"
141,7.2,1.5,7.3,1.8,6.2,3.08,"Moderate","Education"
142,6.2,3.6,6.9,3.3,4,3.27,"Moderate","Arts & Sciences"
143,9.5,2.5,5.6,5.6,0.8,3.13,"High","Humanities"
144,5.7,3.2,8.1,3.2,3.8,3.08,"Low","Humanities"
145,9.5,3.2,5.8,1.7,3.8,3.59,"High","Communication"
146,5.2,2.3,8.8,5.3,2.4,2.61,"Low","Humanities"
147,6.7,3.3,5.6,5.1,3.3,2.95,"High","Education"
148,9,0.6,6.1,4.3,4,3.15,"High","Education"
149,8.6,2.6,8.5,2.3,2,3.14,"High","Medicine"
150,5.9,3.6,7.9,2.4,4.2,2.64,"Low","Humanities"
151,7.3,3.8,5.8,3.5,3.6,3.58,"High","Education"
152,5.1,3.5,9.7,3.2,2.5,2.79,"Low","Communication"
153,8.5,3.7,8.5,0.5,2.8,3.65,"High","Humanities"
154,7.1,2.9,9.7,4,0.3,3.33,"Moderate","Medicine"
155,7.3,0.5,9.9,5,1.3,3.11,"Moderate","Humanities"
156,8,1.6,5.3,2,7.1,3.42,"High","Humanities"
157,9,0,6.7,2.4,5.9,3.51,"High","Humanities"
158,6.7,1.4,8.7,2.7,4.5,3.02,"Moderate","Medicine"
159,6.1,1.8,5.7,1.1,9.3,2.38,"High","Medicine"
160,9.6,1.4,7.9,3.2,1.9,3.43,"High","Medicine"
161,5.1,2.7,5.9,5.8,4.5,2.71,"High","Humanities"
162,5.4,4,7.5,3.6,3.5,2.59,"Low","Arts & Sciences"
163,5.3,3,6,5.4,4.3,2.68,"Low","Education"
164,5.2,1.9,7.8,0.4,8.7,2.67,"Low","Humanities"
165,8.9,1.8,7.6,2.5,3.2,3.58,"High","Humanities"
166,5.8,0.7,9.3,5.7,2.5,2.46,"Low","Education"
167,6.9,1.1,8.2,2.5,5.3,3.22,"Moderate","Communication"
168,5.1,0.9,6.2,4,7.8,3.02,"Low","Arts & Sciences"
169,5.1,0.4,9,1.1,8.4,2.52,"Low","Medicine"
170,5.5,1,8.6,5.1,3.8,2.97,"Low","Medicine"
171,9.2,1.6,8.3,1,3.9,3.5,"High","Education"
172,5.1,0.3,6,0.2,12.4,2.7,"Low","Humanities"
173,5.9,2.3,7.1,5.4,3.3,2.78,"Low","Medicine"
174,6.3,1.5,8,1.6,6.6,3.15,"Moderate","Humanities"
175,8.1,1.6,7.8,2.6,3.9,3.26,"High","Medicine"
176,8.8,0.6,9.3,2.6,2.7,3.3,"High","Communication"
177,9.5,3.2,7.1,0.1,4.1,3.49,"High","Humanities"
178,8.2,1,5.7,5,4.1,2.89,"High","Education"
179,9.9,2.1,5.9,1.6,4.5,3.52,"High","Medicine"
180,6.4,2.2,8.3,5,2.1,2.76,"Moderate","Humanities"
181,6,0,5.7,5.4,6.9,2.95,"High","Humanities"
182,8,2.7,5.9,5.5,1.9,3.4,"High","Medicine"
183,7.1,1.5,7.6,0.3,7.5,3.17,"Moderate","Education"
184,5.4,2.4,6.2,2.3,7.7,2.66,"Low","Arts & Sciences"
185,6.4,1.4,8.6,1.8,5.8,2.77,"Moderate","Communication"
186,8.3,3.7,8.7,0.7,2.6,3.77,"High","Humanities"
187,5.2,1,8,0.3,9.5,3.29,"Low","Arts & Sciences"
188,6.7,3.1,5.5,0.5,8.2,2.99,"High","Medicine"
189,8.6,2,8.4,2.2,2.8,3.43,"High","Medicine"
190,9,2.8,6.4,3.4,2.4,3.24,"High","Education"
191,6.8,0.4,9.6,0.8,6.4,3.01,"Moderate","Medicine"
192,5.9,2.2,9.4,4.4,2.1,3.01,"Low","Education"
193,9,2.6,8.5,3.3,0.6,3.34,"High","Communication"
194,6.1,4,9.7,0.2,4,2.58,"Moderate","Education"
195,8.5,3.7,5.9,3.4,2.5,3.06,"High","Arts & Sciences"
196,9.6,3.9,9.7,0.4,0.4,3.65,"High","Medicine"
197,9.3,3.4,6.6,3.9,0.8,3.41,"High","Medicine"
198,6.2,0.5,5.4,4.2,7.7,2.84,"High","Humanities"
199,6.7,2.9,5.3,1.9,7.2,3.29,"High","Education"
200,6.6,2.5,9.4,3.4,2.1,3.03,"Moderate","Education"
201,6.2,0.1,9.4,0.1,8.2,2.95,"Moderate","Arts & Sciences"
202,9.7,3.2,10,0.4,0.7,3.67,"High","Education"
203,8.8,1.6,7.4,3.8,2.4,3.23,"High","Communication"
204,7.1,3,6.2,0.7,7,3.36,"Moderate","Arts & Sciences"
205,6.8,1.1,6.5,1.4,8.2,3.01,"Moderate","Communication"
206,6.9,2.7,6.1,5.7,2.6,3.08,"Moderate","Education"
207,8.9,0.4,7.1,5.3,2.3,3.33,"High","Humanities"
208,8.1,0.7,10,1.2,4,3.35,"High","Humanities"
209,9.7,2.6,8,1.9,1.8,3.33,"High","Medicine"
210,6.1,0.7,8.9,2.1,6.2,2.81,"Moderate","Humanities"
211,5.3,3.9,9.4,5,0.4,3.08,"Low","Humanities"
212,8.5,0.6,9.1,1.3,4.5,3.16,"High","Humanities"
213,6.1,2.1,8,3.5,4.3,2.79,"Moderate","Education"
214,9.4,3.8,9.3,1.2,0.3,3.33,"High","Medicine"
215,8.3,2.2,5.4,2.5,5.6,2.97,"High","Arts & Sciences"
216,8.6,2,5.4,1.3,6.7,3.14,"High","Medicine"
217,8.4,0.3,9.3,3,3,3.77,"High","Arts & Sciences"
218,9.1,1.4,8.4,2.9,2.2,3.26,"High","Humanities"
219,6.3,3.5,9,3.4,1.8,3.11,"Moderate","Medicine"
220,8.5,2.7,8.1,3.5,1.2,3.38,"High","Humanities"
221,5.8,3.5,9.4,0.2,5.1,2.84,"Low","Education"
222,6.7,3,5.8,4.9,3.6,3.03,"High","Arts & Sciences"
223,9.2,2,5,1.7,6.1,3.42,"High","Education"
224,8.2,1,8.2,3.2,3.4,3.24,"High","Medicine"
225,8.9,0.4,8.8,3.2,2.7,3.32,"High","Education"
226,8.2,3.7,5.5,5.6,1,3.29,"High","Arts & Sciences"
227,8.4,0.3,6.5,4.2,4.6,3.29,"High","Communication"
228,6.7,2.5,5.2,5.2,4.4,2.86,"High","Humanities"
229,9.9,3.9,8.7,0.2,1.3,3.8,"High","Communication"
230,8.4,1.8,6.4,6,1.4,3.25,"High","Education"
231,7.1,1.8,5.8,4.8,4.5,2.86,"High","Arts & Sciences"
232,5.4,2.7,8.3,1.6,6,2.95,"Low","Humanities"
233,9.8,0.6,7.2,5.7,0.7,3.84,"High","Arts & Sciences"
234,7,1.1,9.9,2.5,3.5,2.84,"Moderate","Communication"
235,9.5,0.9,6.1,0.2,7.3,3.17,"High","Communication"
236,9.3,1.9,9.8,0.6,2.4,3.68,"High","Education"
237,9.3,3.1,8.9,2.3,0.4,3.52,"High","Communication"
238,5.7,0.1,9.6,3.7,4.9,3.12,"Low","Humanities"
239,9,1.9,5.6,0.8,6.7,3.21,"High","Humanities"
240,6,2,5.3,3.5,7.2,3.26,"High","Education"
241,6.3,3.2,6.6,2.7,5.2,2.85,"Moderate","Education"
242,8,1.2,8.5,5.2,1.1,2.72,"Moderate","Communication"
243,8.9,0.2,7.4,0.6,6.9,3.33,"High","Medicine"
244,8.1,2.8,7.8,0.1,5.2,2.98,"High","Humanities"
245,6.6,2.1,5.4,2.1,7.8,2.79,"High","Communication"
246,7.8,2.8,9,0.9,3.5,3.11,"Moderate","Communication"
247,5.8,0.4,8.2,4.2,5.4,2.88,"Low","Humanities"
248,8.5,3.5,8.6,2.7,0.7,3.15,"High","Communication"
249,6.7,3.3,5.4,5.4,3.2,3.27,"High","Education"
250,7.3,2.6,7.6,4.4,2.1,3.13,"Moderate","Arts & Sciences"
251,5.4,0.2,6.2,1,11.2,2.75,"Low","Humanities"
252,9.9,1.3,5.9,4.7,2.2,3.57,"High","Arts & Sciences"
253,8.3,2,7.8,4.2,1.7,3.25,"High","Medicine"
254,6,2.7,5.4,0.2,9.7,2.92,"High","Education"
255,6.3,1.9,9.3,4.4,2.1,2.85,"Moderate","Medicine"
256,6.7,1.5,9.9,0.2,5.7,3.32,"Moderate","Communication"
257,9.3,2.3,7.2,3.8,1.4,3.61,"High","Education"
258,9.5,1.7,6.4,3.6,2.8,3.42,"High","Medicine"
259,9.6,0.8,8.1,3.5,2,3.31,"High","Communication"
260,8.6,3.6,5.9,1.4,4.5,3.37,"High","Arts & Sciences"
261,9.9,0.7,9.3,2,2.1,3.59,"High","Medicine"
262,7.2,2.1,6.8,3.6,4.3,3.01,"Moderate","Arts & Sciences"
263,5.8,1.6,9.8,1.5,5.3,2.61,"Low","Arts & Sciences"
264,8.9,0.5,9.8,2.2,2.6,3.57,"High","Arts & Sciences"
265,6.2,0.3,5.8,3.1,8.6,3.13,"High","Humanities"
266,7.2,1,8.1,4.2,3.5,2.98,"Moderate","Communication"
267,5.8,0.7,5.2,4.4,7.9,2.81,"High","Arts & Sciences"
268,9.2,3.2,7.9,3.2,0.5,3.8,"High","Education"
269,6,0.4,6.3,0.3,11,3.05,"Moderate","Medicine"
270,5.2,0.5,7.3,5.6,5.4,2.79,"Low","Humanities"
271,6.6,2,5.2,0.9,9.3,3.17,"High","Communication"
272,7.3,2.1,7.4,4,3.2,3.16,"Moderate","Humanities"
273,5.7,0.1,6.5,4.2,7.5,2.98,"Low","Humanities"
274,9.8,0.4,8.4,2.4,3,3.26,"High","Humanities"
275,9.3,0.7,8.5,4.6,0.9,3.43,"High","Arts & Sciences"
276,7.5,2.5,9.3,2.7,2,3.2,"Moderate","Humanities"
277,5.2,3.7,8.4,4.1,2.6,2.91,"Low","Medicine"
278,7,2.6,5.5,3.9,5,2.82,"High","Medicine"
279,10,0.2,9.9,1.6,2.3,3.56,"High","Medicine"
280,7.8,3,9.4,1.5,2.3,3.25,"Moderate","Medicine"
281,6.6,2.7,9,4.3,1.4,2.93,"Moderate","Education"
282,9.1,0.5,7.7,0,6.7,3.64,"High","Medicine"
283,6.6,1.5,7,4.2,4.7,2.79,"Moderate","Arts & Sciences"
284,6.2,1.5,6.1,0.4,9.8,2.5,"Moderate","Arts & Sciences"
285,8,2.7,8.1,2.4,2.8,3.4,"Moderate","Arts & Sciences"
286,7.6,1.9,5.1,2,7.4,3.08,"High","Humanities"
287,6.9,1.6,7.9,3.2,4.4,3.31,"Moderate","Medicine"
288,9.1,2.9,9.8,0,2.2,3.48,"High","Humanities"
289,6,0,8.2,5.4,4.4,2.92,"Moderate","Education"
290,5.3,3.7,6.8,0.6,7.6,2.78,"Low","Medicine"
291,7.4,1,6.4,1.8,7.4,3.15,"Moderate","Education"
292,6.6,2.4,8.6,1.6,4.8,3.27,"Moderate","Communication"
293,7.1,0.5,5.9,4.1,6.4,3.09,"High","Humanities"
294,8.5,0.4,7.8,1.5,5.8,3.01,"High","Humanities"
295,9.8,1.9,9,1.8,1.5,3.5,"High","Arts & Sciences"
296,9.8,2.4,9.1,2.4,0.3,3.38,"High","Education"
297,6.1,0.8,8.1,2.5,6.5,2.67,"Moderate","Humanities"
298,8.9,1.1,9.1,2.1,2.8,3.2,"High","Arts & Sciences"
299,8.3,0.4,8.1,2.7,4.5,3.01,"High","Medicine"
300,8.7,3.5,6.1,0.5,5.2,3.37,"High","Communication"
301,5.1,2.6,8,3.3,5,2.65,"Low","Humanities"
302,8,2,9.9,0.6,3.5,2.93,"Moderate","Education"
303,8.5,1.6,7.1,4.3,2.5,3.39,"High","Humanities"
304,6.4,0.3,5.4,5.4,6.5,3.29,"High","Communication"
305,6,1.3,6.1,2.1,8.5,2.91,"Moderate","Education"
306,5.3,3.2,6.2,3.2,6.1,2.64,"Low","Education"
307,9.4,2.6,7.7,1.4,2.9,3.66,"High","Arts & Sciences"
308,10,2.6,7.8,2.6,1,3.26,"High","Humanities"
309,7.3,0.2,7.8,5.7,3,3.2,"Moderate","Communication"
310,6,2.1,5.5,2.7,7.7,2.72,"High","Arts & Sciences"
311,8.8,1.4,8.3,4.4,1.1,3.1,"High","Medicine"
312,10,3.7,7.7,2.2,0.4,3.44,"High","Medicine"
313,7.6,2.5,5.4,4.5,4,3.17,"High","Education"
314,8.9,2.8,5.2,1.8,5.3,3.3,"High","Humanities"
315,6.3,1.4,5.4,5.6,5.3,2.58,"High","Medicine"
316,7,1.8,8,3.1,4.1,3.15,"Moderate","Humanities"
317,9.6,2,10,2,0.4,3.46,"High","Humanities"
318,6.9,3.5,9.3,3.5,0.8,3.02,"Moderate","Medicine"
319,9,1.2,5.4,2.4,6,3.46,"High","Humanities"
320,6.7,3.9,8.2,4.3,0.9,2.83,"Moderate","Education"
321,5.7,3.4,9.6,2.6,2.7,3.13,"Low","Education"
322,5.9,2,7,0.9,8.2,3,"Low","Education"
323,6.8,0.3,5.1,0.8,11,3.03,"High","Arts & Sciences"
324,9.8,1.7,6.6,3,2.9,3.58,"High","Arts & Sciences"
325,7.2,0.4,8.2,1.3,6.9,3.39,"Moderate","Medicine"
326,5.8,0.2,8.9,2.8,6.3,3.11,"Low","Education"
327,5.3,4,5.3,4.2,5.2,2.67,"High","Humanities"
328,8.5,0.2,7.5,6,1.8,3.21,"High","Humanities"
329,9.1,2.5,6.5,3.7,2.2,2.85,"High","Medicine"
330,5.7,3.5,7.2,1.2,6.4,3.04,"Low","Humanities"
331,6.8,1.7,9.1,4.4,2,2.9,"Moderate","Humanities"
332,5.1,1,8.8,0.8,8.3,2.25,"Low","Arts & Sciences"
333,7.7,0.9,5.1,1.4,8.9,3.15,"High","Medicine"
334,5.5,2.2,7.3,5.1,3.9,2.94,"Low","Medicine"
335,5.5,2,5.8,1.9,8.8,2.79,"High","Education"
336,6.9,1.6,7.3,4.7,3.5,3.38,"Moderate","Communication"
337,9.5,3.8,8.9,0.6,1.2,3.3,"High","Medicine"
338,6.3,3.4,5.2,5.4,3.7,3.31,"High","Education"
339,7.3,2.5,8.3,5.3,0.6,3.36,"Moderate","Education"
340,5.3,2.1,5.8,4.4,6.4,3.11,"High","Arts & Sciences"
341,7.6,2.7,5.2,0.5,8,3.07,"High","Arts & Sciences"
342,5.4,0,9.8,4.4,4.4,2.85,"Low","Medicine"
343,6.8,1.2,6.7,4.6,4.7,2.81,"Moderate","Arts & Sciences"
344,5.9,0.4,8.3,4.6,4.8,2.99,"Low","Medicine"
345,6.3,0.1,5.4,5.8,6.4,3.14,"High","Medicine"
346,8.1,1.5,6,0.7,7.7,3.06,"High","Education"
347,8.1,3.1,8.2,2.4,2.2,3.09,"High","Communication"
348,9.9,2.4,7.9,2.8,1,3.67,"High","Humanities"
349,9.1,2.6,5.6,2,4.7,3.16,"High","Medicine"
350,7.2,2.5,9.7,1.1,3.5,2.69,"Moderate","Education"
351,5.6,0.8,9.4,3.9,4.3,3.01,"Low","Communication"
352,9.3,3.4,9.6,0.4,1.3,3.28,"High","Education"
353,8.8,1.8,9.2,3.1,1.1,3.45,"High","Humanities"
354,5.9,2.2,9.9,5.6,0.4,3.12,"Low","Arts & Sciences"
355,5.2,0.7,5.7,4.4,8,2.67,"High","Humanities"
356,7.5,3.4,8.7,2.4,2,3.24,"Moderate","Education"
357,8,2,6.5,3.4,4.1,3.35,"Moderate","Arts & Sciences"
358,8.2,3,5.8,2.8,4.2,3.31,"High","Arts & Sciences"
359,5,1,8.6,6,3.4,2.71,"Low","Communication"
360,9,0.8,7.8,4.4,2,3.18,"High","Humanities"
361,8.1,0.8,6.8,4.7,3.6,3.19,"High","Education"
362,8.8,0.1,8.7,1.2,5.2,3.32,"High","Education"
363,9.8,1.5,6.6,0.9,5.2,3.61,"High","Humanities"
364,10,1.5,7.2,3.8,1.5,3.43,"High","Arts & Sciences"
365,9.4,2.4,7,2.1,3.1,3.1,"High","Arts & Sciences"
366,9,0.4,7.9,2.9,3.8,3.6,"High","Humanities"
367,8.2,0.3,7.9,3.4,4.2,3.64,"High","Medicine"
368,8.4,3.2,6.3,5,1.1,3.5,"High","Medicine"
369,7.5,0.3,5.3,2,8.9,3.26,"High","Humanities"
370,8.9,2.1,7.2,0.9,4.9,3.53,"High","Medicine"
371,6.6,1.7,5.4,1.3,9,3.29,"High","Medicine"
372,10,3.7,8.2,0.9,1.2,3.63,"High","Education"
373,8.2,3.1,5.6,2.5,4.6,3.16,"High","Communication"
374,7.9,2.4,5.9,2.2,5.6,3.4,"High","Humanities"
375,6.7,0.1,5.1,5,7.1,3.03,"High","Medicine"
376,6.5,3.8,6.3,2.6,4.8,2.62,"Moderate","Humanities"
377,9.4,3.4,5.9,4.3,1,3.18,"High","Humanities"
378,5.7,0.3,8.6,3,6.4,2.28,"Low","Education"
379,7.2,2.9,8.8,0.8,4.3,2.88,"Moderate","Humanities"
380,8.8,2.6,9.8,0.2,2.6,3.38,"High","Arts & Sciences"
381,5.3,1.1,6.3,1.5,9.8,2.75,"Low","Humanities"
382,6.4,3,7.2,4.7,2.7,3.03,"Moderate","Medicine"
383,5.3,2,5.2,0.4,11.1,2.31,"High","Medicine"
384,6.7,3.6,5.1,4,4.6,3.18,"High","Arts & Sciences"
385,9.8,2.2,9.7,0.1,2.2,3.16,"High","Humanities"
386,8.7,3.9,6.3,3.3,1.8,3.2,"High","Humanities"
387,6,2.3,7.3,5.8,2.6,2.58,"Moderate","Communication"
388,5.6,0.6,6.1,1.5,10.2,3.07,"Low","Communication"
389,9.3,2.2,7.6,0.6,4.3,3.48,"High","Education"
390,5.3,2.8,7.7,0.5,7.7,2.93,"Low","Arts & Sciences"
391,7.3,1.9,5.8,5.7,3.3,3.18,"High","Education"
392,7.3,1.6,8.3,3.3,3.5,3.28,"Moderate","Medicine"
393,5.3,2.1,9,2.8,4.8,2.67,"Low","Arts & Sciences"
394,5.8,1.3,8.8,3.1,5,2.71,"Low","Communication"
