"Student_ID","Study_Hours_Per_Day","Extracurricular_Hours_Per_Day","Sleep_Hours_Per_Day","Social_Hours_Per_Day","Physical_Activity_Hours_Per_Day","GPA","Stress_Level","college","GPA_Level","Stress_Level2","books_read"
21,7.1,3,6.1,0.5,7.3,2.9,"Moderate","Arts & Sciences","MediumGPA","LowModerate",8
22,9.6,3.2,8.2,2.6,0.4,3.34,"High","Arts & Sciences","HighGPA","High",6
23,9,0.7,9.5,2.6,2.2,3.21,"High","Communication","MediumGPA","High",6
24,6.1,1.7,9.1,5.2,1.9,2.85,"Moderate","Arts & Sciences","LowGPA","LowModerate",11
25,5,2,7.1,1.3,8.6,2.68,"Low","Education","LowGPA","LowModerate",6
26,9.7,1.3,7.6,3.8,1.6,3.29,"High","Humanities","MediumGPA","High",6
27,6.8,3.9,9.8,0.9,2.6,2.64,"Moderate","Arts & Sciences","LowGPA","LowModerate",5
28,6.4,0.1,8,3,6.5,2.95,"Moderate","Education","MediumGPA","LowModerate",5
29,5.3,1.1,9.5,1.4,6.7,2.79,"Low","Humanities","LowGPA","LowModerate",4
30,9.9,1,8.4,3.6,1.1,3.25,"High","Humanities","MediumGPA","High",3
31,6.2,2.9,6.8,3.8,4.3,3.05,"Moderate","Education","MediumGPA","LowModerate",9
32,5.5,3.3,6.6,1.1,7.5,3.26,"Low","Education","MediumGPA","LowModerate",8
33,5.2,2.4,8.4,0.1,7.9,2.47,"Low","Education","LowGPA","LowModerate",6
34,8.2,0.7,8.5,2.3,4.3,3.24,"High","Communication","MediumGPA","High",7
35,9.7,0.6,6.7,0.7,6.3,3.62,"High","Medicine","HighGPA","High",1
36,9.1,2.2,7.6,1.2,3.9,3.12,"High","Medicine","MediumGPA","High",5
37,5.5,3.6,9.5,3.4,2,2.58,"Low","Humanities","LowGPA","LowModerate",6
38,8.6,3.6,9.4,1.9,0.5,3.03,"High","Medicine","MediumGPA","High",3
39,8.2,0.3,5.8,5.4,4.3,3.29,"High","Medicine","MediumGPA","High",4
40,5,0.6,7.7,4.2,6.5,2.61,"Low","Humanities","LowGPA","LowModerate",3
41,8.3,0.9,8.6,1.4,4.8,3.48,"High","Humanities","HighGPA","High",3
42,8.2,3.4,8.3,2.3,1.8,3.07,"High","Arts & Sciences","MediumGPA","High",4
43,5.5,1.5,6.3,1.5,9.2,2.81,"Low","Communication","LowGPA","LowModerate",4
44,9.5,2.5,9,1.5,1.5,3.49,"High","Medicine","HighGPA","High",4
45,7.9,2,6,4.3,3.8,2.97,"Moderate","Education","MediumGPA","LowModerate",3
46,9.7,3.8,9.6,0.3,0.6,3.55,"High","Education","HighGPA","High",3
47,5.1,3.7,7.1,5.8,2.3,2.6,"Low","Humanities","LowGPA","LowModerate",3
48,9.3,1.3,5.8,3.3,4.3,3.09,"High","Medicine","MediumGPA","High",5
49,9.7,2.8,7.9,0.3,3.3,3.47,"High","Medicine","HighGPA","High",4
50,9.4,3,8.5,2.2,0.9,3.18,"High","Education","MediumGPA","High",7
51,6.8,1.2,9,4.9,2.1,3.12,"Moderate","Medicine","MediumGPA","LowModerate",2
52,9,2.6,8.5,3.1,0.8,4,"High","Communication","HighGPA","High",5
53,9.5,1.4,6.9,0.6,5.6,3.33,"High","Arts & Sciences","MediumGPA","High",7
54,7.3,2.2,6.4,3.5,4.6,3.11,"Moderate","Communication","MediumGPA","LowModerate",2
55,5.2,0.1,9.1,2.2,7.4,2.79,"Low","Arts & Sciences","LowGPA","LowModerate",5
56,8.8,0.9,8.1,0.5,5.7,3.1,"High","Humanities","MediumGPA","High",3
57,5.3,2.1,7.7,3.8,5.1,2.39,"Low","Education","LowGPA","LowModerate",3
58,9,1.1,7.2,0.5,6.2,3.39,"High","Education","HighGPA","High",6
59,5.1,3.9,9.2,4,1.8,2.52,"Low","Medicine","LowGPA","LowModerate",8
60,5.8,1,7.7,4.3,5.2,2.8,"Low","Education","LowGPA","LowModerate",4
61,8.3,1.1,9.8,3.5,1.3,3.67,"High","Medicine","HighGPA","High",6
62,7.1,1,6.8,4.5,4.6,3.27,"Moderate","Arts & Sciences","MediumGPA","LowModerate",2
63,5.1,0.5,5.2,0.2,13,2.85,"High","Medicine","LowGPA","High",4
64,7.4,0.4,7.5,2.8,5.9,3.26,"Moderate","Humanities","MediumGPA","LowModerate",4
65,5.9,1.7,7,3.7,5.7,2.8,"Low","Arts & Sciences","LowGPA","LowModerate",7
66,6.9,2.5,7.5,5.1,2,3.06,"Moderate","Arts & Sciences","MediumGPA","LowModerate",5
67,8.3,0.7,5.4,3.9,5.7,3.26,"High","Education","MediumGPA","High",7
68,9.7,2.3,6.9,3.3,1.8,3.38,"High","Arts & Sciences","HighGPA","High",7
69,7.3,2.2,9.7,1.9,2.9,3.15,"Moderate","Communication","MediumGPA","LowModerate",7
70,5.4,1.3,9.2,0.1,8,2.69,"Low","Education","LowGPA","LowModerate",4
71,9.1,1.1,5.6,4.2,4,3.54,"High","Humanities","HighGPA","High",6
72,8.7,3.2,6.4,1,4.7,3.37,"High","Arts & Sciences","HighGPA","High",6
73,8.8,3.2,10,0.8,1.2,3.58,"High","Humanities","HighGPA","High",6
74,6.7,3.7,9.3,1.8,2.5,2.89,"Moderate","Communication","LowGPA","LowModerate",0
75,8.8,3,5.5,5.4,1.3,3.58,"High","Communication","HighGPA","High",5
76,6.6,3.6,6.9,0.1,6.8,2.99,"Moderate","Humanities","MediumGPA","LowModerate",3
77,9.5,0.4,6.6,5.7,1.8,3.44,"High","Medicine","HighGPA","High",4
78,8.2,1.8,6.5,2,5.5,3.35,"High","Education","HighGPA","High",5
79,8.4,3,9,2.8,0.8,3.26,"High","Arts & Sciences","MediumGPA","High",4
80,5.3,2.2,7.2,5.3,4,2.62,"Low","Communication","LowGPA","LowModerate",2
81,6.8,0.5,5.7,4.6,6.4,2.86,"High","Communication","LowGPA","High",3
82,5.4,2.8,5.4,4.9,5.5,2.86,"High","Education","LowGPA","High",6
83,8.5,0.3,5.4,5.9,3.9,2.99,"High","Arts & Sciences","MediumGPA","High",4
84,9.1,3.8,9.9,0.9,0.3,3.08,"High","Medicine","MediumGPA","High",7
85,6.9,0.3,8.9,3.4,4.5,3.21,"Moderate","Communication","MediumGPA","LowModerate",2
86,5.6,2,5.1,2.8,8.5,2.81,"High","Education","LowGPA","High",4
87,5.3,0.5,5.6,3.9,8.7,2.9,"High","Medicine","MediumGPA","High",10
88,9.8,1.5,6.4,5.2,1.1,3.78,"High","Medicine","HighGPA","High",8
89,6.1,3.9,5.1,5.8,3.1,2.96,"High","Medicine","MediumGPA","High",8
90,5.4,2.2,9.8,3.1,3.5,2.81,"Low","Humanities","LowGPA","LowModerate",3
91,8.1,2.8,7.3,3.6,2.2,3.39,"High","Humanities","HighGPA","High",3
92,5.2,1.1,9.8,5.3,2.6,2.82,"Low","Medicine","LowGPA","LowModerate",6
93,7.3,2.5,6.4,1.1,6.7,2.67,"Moderate","Humanities","LowGPA","LowModerate",4
94,7.9,0.3,9.9,5.8,0.1,3.08,"Moderate","Arts & Sciences","MediumGPA","LowModerate",6
95,8.5,2.1,6.5,4.9,2,3.1,"High","Arts & Sciences","MediumGPA","High",4
96,9.6,3.3,9.7,1,0.4,3.54,"High","Communication","HighGPA","High",3
97,8.1,1.7,9.7,3.9,0.6,3.45,"High","Communication","HighGPA","High",7
98,9.9,0.6,8,2.1,3.4,3.39,"High","Medicine","HighGPA","High",2
99,9.8,3.4,9.2,0.7,0.9,3.15,"High","Humanities","MediumGPA","High",5
100,5.3,3.5,9.1,6,0.1,2.68,"Low","Humanities","LowGPA","LowModerate",5
101,10,2.2,8.8,2.8,0.2,3.41,"High","Humanities","HighGPA","High",5
102,7.3,0.5,9.8,3.6,2.8,3.22,"Moderate","Arts & Sciences","MediumGPA","LowModerate",4
103,6.1,2.7,8.1,2.1,5,2.98,"Moderate","Education","MediumGPA","LowModerate",5
104,7.6,3.1,7.6,4.9,0.8,2.99,"Moderate","Education","MediumGPA","LowModerate",9
105,7.8,2.2,9.4,1.9,2.7,3.3,"Moderate","Education","MediumGPA","LowModerate",5
106,8.5,0.9,5.7,0.1,8.8,3.55,"High","Medicine","HighGPA","High",8
107,6.8,2.4,7,2.6,5.2,2.97,"Moderate","Medicine","MediumGPA","LowModerate",8
108,7.6,3.1,7,3.7,2.6,3.28,"Moderate","Humanities","MediumGPA","LowModerate",5
109,9.3,3.8,5.7,4.8,0.4,3.05,"High","Humanities","MediumGPA","High",4
110,7.3,3.9,7.5,1.7,3.6,3.08,"Moderate","Education","MediumGPA","LowModerate",3
111,8.2,1,5.4,0.8,8.6,3.3,"High","Medicine","MediumGPA","High",9
112,5.9,1.4,9.5,2.8,4.4,2.7,"Low","Education","LowGPA","LowModerate",4
113,8.3,0.7,6,0.2,8.8,3.14,"High","Education","MediumGPA","High",2
114,5.9,0.4,5.6,2.8,9.3,2.73,"High","Humanities","LowGPA","High",9
115,6,1.5,7.5,4.1,4.9,2.76,"Moderate","Medicine","LowGPA","LowModerate",6
116,9.4,3.7,5.3,1.6,4,3.45,"High","Arts & Sciences","HighGPA","High",3
117,9,3,5.9,1.3,4.8,3.29,"High","Medicine","MediumGPA","High",5
118,8.1,1.5,7.3,4.5,2.6,2.75,"High","Humanities","LowGPA","High",9
119,5.2,1,8.6,5.4,3.8,3.4,"Low","Medicine","HighGPA","LowModerate",5
120,5.5,1.8,7.7,1.5,7.5,3.05,"Low","Education","MediumGPA","LowModerate",4
121,6.3,1.5,5.1,1.9,9.2,2.82,"High","Communication","LowGPA","High",6
122,5.6,3.6,8,4.1,2.7,2.62,"Low","Arts & Sciences","LowGPA","LowModerate",4
123,8.9,2,5.4,3.2,4.5,3.64,"High","Humanities","HighGPA","High",4
124,7.2,0.5,6.4,2.2,7.7,3.19,"Moderate","Medicine","MediumGPA","LowModerate",3
125,8.2,2.3,6.8,5.9,0.8,2.95,"High","Medicine","MediumGPA","High",4
126,5.5,0.6,6.2,1,10.7,2.94,"Low","Humanities","MediumGPA","LowModerate",10
127,5.9,1.1,5.9,5.4,5.7,2.89,"High","Arts & Sciences","LowGPA","High",3
128,7.1,3.9,5.6,2.4,5,2.9,"High","Humanities","MediumGPA","High",2
129,9.8,3.5,9.1,0.4,1.2,3.57,"High","Humanities","HighGPA","High",3
130,9.6,2.2,7.9,1.2,3.1,3.24,"High","Humanities","MediumGPA","High",6
131,8.8,0.7,6.6,2.6,5.3,2.99,"High","Medicine","MediumGPA","High",6
132,5.6,2.4,6.4,3.5,6.1,2.85,"Low","Education","LowGPA","LowModerate",8
133,5.8,1.9,7.7,0.3,8.3,2.7,"Low","Humanities","LowGPA","LowModerate",6
134,5.3,4,6.6,4.9,3.2,2.72,"Low","Arts & Sciences","LowGPA","LowModerate",6
135,6.3,2.7,8.8,3.6,2.6,2.45,"Moderate","Humanities","LowGPA","LowModerate",5
136,6.7,3.7,9.2,4.2,0.2,2.85,"Moderate","Humanities","LowGPA","LowModerate",6
137,5.6,2.9,9.7,1.1,4.7,2.86,"Low","Medicine","LowGPA","LowModerate",7
138,7.9,3.4,5.7,4.8,2.2,3.15,"High","Humanities","MediumGPA","High",7
139,6,0.7,5.8,4.9,6.6,2.96,"High","Humanities","MediumGPA","High",10
140,6.8,3.5,7,4.9,1.8,3.44,"Moderate","Arts & Sciences","HighGPA","LowModerate",4
141,7.2,1.5,7.3,1.8,6.2,3.08,"Moderate","Education","MediumGPA","LowModerate",4
142,6.2,3.6,6.9,3.3,4,3.27,"Moderate","Arts & Sciences","MediumGPA","LowModerate",4
143,9.5,2.5,5.6,5.6,0.8,3.13,"High","Humanities","MediumGPA","High",1
144,5.7,3.2,8.1,3.2,3.8,3.08,"Low","Humanities","MediumGPA","LowModerate",3
145,9.5,3.2,5.8,1.7,3.8,3.59,"High","Communication","HighGPA","High",7
146,5.2,2.3,8.8,5.3,2.4,2.61,"Low","Humanities","LowGPA","LowModerate",3
147,6.7,3.3,5.6,5.1,3.3,2.95,"High","Education","MediumGPA","High",3
148,9,0.6,6.1,4.3,4,3.15,"High","Education","MediumGPA","High",2
149,8.6,2.6,8.5,2.3,2,3.14,"High","Medicine","MediumGPA","High",3
150,5.9,3.6,7.9,2.4,4.2,2.64,"Low","Humanities","LowGPA","LowModerate",6
151,7.3,3.8,5.8,3.5,3.6,3.58,"High","Education","HighGPA","High",7
152,5.1,3.5,9.7,3.2,2.5,2.79,"Low","Communication","LowGPA","LowModerate",5
153,8.5,3.7,8.5,0.5,2.8,3.65,"High","Humanities","HighGPA","High",4
154,7.1,2.9,9.7,4,0.3,3.33,"Moderate","Medicine","MediumGPA","LowModerate",3
155,7.3,0.5,9.9,5,1.3,3.11,"Moderate","Humanities","MediumGPA","LowModerate",2
156,8,1.6,5.3,2,7.1,3.42,"High","Humanities","HighGPA","High",4
157,9,0,6.7,2.4,5.9,3.51,"High","Humanities","HighGPA","High",5
158,6.7,1.4,8.7,2.7,4.5,3.02,"Moderate","Medicine","MediumGPA","LowModerate",3
159,6.1,1.8,5.7,1.1,9.3,2.38,"High","Medicine","LowGPA","High",5
160,9.6,1.4,7.9,3.2,1.9,3.43,"High","Medicine","HighGPA","High",3
161,5.1,2.7,5.9,5.8,4.5,2.71,"High","Humanities","LowGPA","High",5
162,5.4,4,7.5,3.6,3.5,2.59,"Low","Arts & Sciences","LowGPA","LowModerate",4
163,5.3,3,6,5.4,4.3,2.68,"Low","Education","LowGPA","LowModerate",6
164,5.2,1.9,7.8,0.4,8.7,2.67,"Low","Humanities","LowGPA","LowModerate",4
165,8.9,1.8,7.6,2.5,3.2,3.58,"High","Humanities","HighGPA","High",4
166,5.8,0.7,9.3,5.7,2.5,2.46,"Low","Education","LowGPA","LowModerate",5
167,6.9,1.1,8.2,2.5,5.3,3.22,"Moderate","Communication","MediumGPA","LowModerate",6
168,5.1,0.9,6.2,4,7.8,3.02,"Low","Arts & Sciences","MediumGPA","LowModerate",3
169,5.1,0.4,9,1.1,8.4,2.52,"Low","Medicine","LowGPA","LowModerate",4
170,5.5,1,8.6,5.1,3.8,2.97,"Low","Medicine","MediumGPA","LowModerate",4
171,9.2,1.6,8.3,1,3.9,3.5,"High","Education","HighGPA","High",6
172,5.1,0.3,6,0.2,12.4,2.7,"Low","Humanities","LowGPA","LowModerate",3
173,5.9,2.3,7.1,5.4,3.3,2.78,"Low","Medicine","LowGPA","LowModerate",7
174,6.3,1.5,8,1.6,6.6,3.15,"Moderate","Humanities","MediumGPA","LowModerate",6
175,8.1,1.6,7.8,2.6,3.9,3.26,"High","Medicine","MediumGPA","High",6
176,8.8,0.6,9.3,2.6,2.7,3.3,"High","Communication","MediumGPA","High",6
177,9.5,3.2,7.1,0.1,4.1,3.49,"High","Humanities","HighGPA","High",4
178,8.2,1,5.7,5,4.1,2.89,"High","Education","LowGPA","High",5
179,9.9,2.1,5.9,1.6,4.5,3.52,"High","Medicine","HighGPA","High",8
180,6.4,2.2,8.3,5,2.1,2.76,"Moderate","Humanities","LowGPA","LowModerate",5
181,6,0,5.7,5.4,6.9,2.95,"High","Humanities","MediumGPA","High",7
182,8,2.7,5.9,5.5,1.9,3.4,"High","Medicine","HighGPA","High",4
183,7.1,1.5,7.6,0.3,7.5,3.17,"Moderate","Education","MediumGPA","LowModerate",6
184,5.4,2.4,6.2,2.3,7.7,2.66,"Low","Arts & Sciences","LowGPA","LowModerate",3
185,6.4,1.4,8.6,1.8,5.8,2.77,"Moderate","Communication","LowGPA","LowModerate",5
186,8.3,3.7,8.7,0.7,2.6,3.77,"High","Humanities","HighGPA","High",5
187,5.2,1,8,0.3,9.5,3.29,"Low","Arts & Sciences","MediumGPA","LowModerate",4
188,6.7,3.1,5.5,0.5,8.2,2.99,"High","Medicine","MediumGPA","High",5
189,8.6,2,8.4,2.2,2.8,3.43,"High","Medicine","HighGPA","High",8
190,9,2.8,6.4,3.4,2.4,3.24,"High","Education","MediumGPA","High",8
191,6.8,0.4,9.6,0.8,6.4,3.01,"Moderate","Medicine","MediumGPA","LowModerate",4
192,5.9,2.2,9.4,4.4,2.1,3.01,"Low","Education","MediumGPA","LowModerate",4
193,9,2.6,8.5,3.3,0.6,3.34,"High","Communication","HighGPA","High",10
194,6.1,4,9.7,0.2,4,2.58,"Moderate","Education","LowGPA","LowModerate",6
195,8.5,3.7,5.9,3.4,2.5,3.06,"High","Arts & Sciences","MediumGPA","High",9
196,9.6,3.9,9.7,0.4,0.4,3.65,"High","Medicine","HighGPA","High",5
197,9.3,3.4,6.6,3.9,0.8,3.41,"High","Medicine","HighGPA","High",4
198,6.2,0.5,5.4,4.2,7.7,2.84,"High","Humanities","LowGPA","High",6
199,6.7,2.9,5.3,1.9,7.2,3.29,"High","Education","MediumGPA","High",3
200,6.6,2.5,9.4,3.4,2.1,3.03,"Moderate","Education","MediumGPA","LowModerate",5
201,6.2,0.1,9.4,0.1,8.2,2.95,"Moderate","Arts & Sciences","MediumGPA","LowModerate",3
202,9.7,3.2,10,0.4,0.7,3.67,"High","Education","HighGPA","High",9
203,8.8,1.6,7.4,3.8,2.4,3.23,"High","Communication","MediumGPA","High",5
204,7.1,3,6.2,0.7,7,3.36,"Moderate","Arts & Sciences","HighGPA","LowModerate",5
205,6.8,1.1,6.5,1.4,8.2,3.01,"Moderate","Communication","MediumGPA","LowModerate",4
206,6.9,2.7,6.1,5.7,2.6,3.08,"Moderate","Education","MediumGPA","LowModerate",8
207,8.9,0.4,7.1,5.3,2.3,3.33,"High","Humanities","MediumGPA","High",4
208,8.1,0.7,10,1.2,4,3.35,"High","Humanities","HighGPA","High",4
209,9.7,2.6,8,1.9,1.8,3.33,"High","Medicine","MediumGPA","High",3
210,6.1,0.7,8.9,2.1,6.2,2.81,"Moderate","Humanities","LowGPA","LowModerate",3
211,5.3,3.9,9.4,5,0.4,3.08,"Low","Humanities","MediumGPA","LowModerate",5
212,8.5,0.6,9.1,1.3,4.5,3.16,"High","Humanities","MediumGPA","High",3
213,6.1,2.1,8,3.5,4.3,2.79,"Moderate","Education","LowGPA","LowModerate",3
214,9.4,3.8,9.3,1.2,0.3,3.33,"High","Medicine","MediumGPA","High",6
215,8.3,2.2,5.4,2.5,5.6,2.97,"High","Arts & Sciences","MediumGPA","High",2
216,8.6,2,5.4,1.3,6.7,3.14,"High","Medicine","MediumGPA","High",6
217,8.4,0.3,9.3,3,3,3.77,"High","Arts & Sciences","HighGPA","High",4
218,9.1,1.4,8.4,2.9,2.2,3.26,"High","Humanities","MediumGPA","High",4
219,6.3,3.5,9,3.4,1.8,3.11,"Moderate","Medicine","MediumGPA","LowModerate",7
220,8.5,2.7,8.1,3.5,1.2,3.38,"High","Humanities","HighGPA","High",8
221,5.8,3.5,9.4,0.2,5.1,2.84,"Low","Education","LowGPA","LowModerate",4
222,6.7,3,5.8,4.9,3.6,3.03,"High","Arts & Sciences","MediumGPA","High",9
223,9.2,2,5,1.7,6.1,3.42,"High","Education","HighGPA","High",6
224,8.2,1,8.2,3.2,3.4,3.24,"High","Medicine","MediumGPA","High",6
225,8.9,0.4,8.8,3.2,2.7,3.32,"High","Education","MediumGPA","High",2
226,8.2,3.7,5.5,5.6,1,3.29,"High","Arts & Sciences","MediumGPA","High",4
227,8.4,0.3,6.5,4.2,4.6,3.29,"High","Communication","MediumGPA","High",5
228,6.7,2.5,5.2,5.2,4.4,2.86,"High","Humanities","LowGPA","High",5
229,9.9,3.9,8.7,0.2,1.3,3.8,"High","Communication","HighGPA","High",6
230,8.4,1.8,6.4,6,1.4,3.25,"High","Education","MediumGPA","High",8
231,7.1,1.8,5.8,4.8,4.5,2.86,"High","Arts & Sciences","LowGPA","High",6
232,5.4,2.7,8.3,1.6,6,2.95,"Low","Humanities","MediumGPA","LowModerate",4
233,9.8,0.6,7.2,5.7,0.7,3.84,"High","Arts & Sciences","HighGPA","High",5
234,7,1.1,9.9,2.5,3.5,2.84,"Moderate","Communication","LowGPA","LowModerate",2
235,9.5,0.9,6.1,0.2,7.3,3.17,"High","Communication","MediumGPA","High",3
236,9.3,1.9,9.8,0.6,2.4,3.68,"High","Education","HighGPA","High",4
237,9.3,3.1,8.9,2.3,0.4,3.52,"High","Communication","HighGPA","High",3
238,5.7,0.1,9.6,3.7,4.9,3.12,"Low","Humanities","MediumGPA","LowModerate",7
239,9,1.9,5.6,0.8,6.7,3.21,"High","Humanities","MediumGPA","High",3
240,6,2,5.3,3.5,7.2,3.26,"High","Education","MediumGPA","High",7
241,6.3,3.2,6.6,2.7,5.2,2.85,"Moderate","Education","LowGPA","LowModerate",5
242,8,1.2,8.5,5.2,1.1,2.72,"Moderate","Communication","LowGPA","LowModerate",6
243,8.9,0.2,7.4,0.6,6.9,3.33,"High","Medicine","MediumGPA","High",3
244,8.1,2.8,7.8,0.1,5.2,2.98,"High","Humanities","MediumGPA","High",6
245,6.6,2.1,5.4,2.1,7.8,2.79,"High","Communication","LowGPA","High",4
246,7.8,2.8,9,0.9,3.5,3.11,"Moderate","Communication","MediumGPA","LowModerate",6
247,5.8,0.4,8.2,4.2,5.4,2.88,"Low","Humanities","LowGPA","LowModerate",4
248,8.5,3.5,8.6,2.7,0.7,3.15,"High","Communication","MediumGPA","High",10
249,6.7,3.3,5.4,5.4,3.2,3.27,"High","Education","MediumGPA","High",9
250,7.3,2.6,7.6,4.4,2.1,3.13,"Moderate","Arts & Sciences","MediumGPA","LowModerate",6
251,5.4,0.2,6.2,1,11.2,2.75,"Low","Humanities","LowGPA","LowModerate",3
252,9.9,1.3,5.9,4.7,2.2,3.57,"High","Arts & Sciences","HighGPA","High",3
253,8.3,2,7.8,4.2,1.7,3.25,"High","Medicine","MediumGPA","High",5
254,6,2.7,5.4,0.2,9.7,2.92,"High","Education","MediumGPA","High",4
255,6.3,1.9,9.3,4.4,2.1,2.85,"Moderate","Medicine","LowGPA","LowModerate",5
256,6.7,1.5,9.9,0.2,5.7,3.32,"Moderate","Communication","MediumGPA","LowModerate",7
257,9.3,2.3,7.2,3.8,1.4,3.61,"High","Education","HighGPA","High",3
258,9.5,1.7,6.4,3.6,2.8,3.42,"High","Medicine","HighGPA","High",4
259,9.6,0.8,8.1,3.5,2,3.31,"High","Communication","MediumGPA","High",5
260,8.6,3.6,5.9,1.4,4.5,3.37,"High","Arts & Sciences","HighGPA","High",8
261,9.9,0.7,9.3,2,2.1,3.59,"High","Medicine","HighGPA","High",8
262,7.2,2.1,6.8,3.6,4.3,3.01,"Moderate","Arts & Sciences","MediumGPA","LowModerate",8
263,5.8,1.6,9.8,1.5,5.3,2.61,"Low","Arts & Sciences","LowGPA","LowModerate",6
264,8.9,0.5,9.8,2.2,2.6,3.57,"High","Arts & Sciences","HighGPA","High",9
265,6.2,0.3,5.8,3.1,8.6,3.13,"High","Humanities","MediumGPA","High",5
266,7.2,1,8.1,4.2,3.5,2.98,"Moderate","Communication","MediumGPA","LowModerate",5
267,5.8,0.7,5.2,4.4,7.9,2.81,"High","Arts & Sciences","LowGPA","High",4
268,9.2,3.2,7.9,3.2,0.5,3.8,"High","Education","HighGPA","High",4
269,6,0.4,6.3,0.3,11,3.05,"Moderate","Medicine","MediumGPA","LowModerate",1
270,5.2,0.5,7.3,5.6,5.4,2.79,"Low","Humanities","LowGPA","LowModerate",5
271,6.6,2,5.2,0.9,9.3,3.17,"High","Communication","MediumGPA","High",8
272,7.3,2.1,7.4,4,3.2,3.16,"Moderate","Humanities","MediumGPA","LowModerate",0
273,5.7,0.1,6.5,4.2,7.5,2.98,"Low","Humanities","MediumGPA","LowModerate",2
274,9.8,0.4,8.4,2.4,3,3.26,"High","Humanities","MediumGPA","High",3
275,9.3,0.7,8.5,4.6,0.9,3.43,"High","Arts & Sciences","HighGPA","High",7
276,7.5,2.5,9.3,2.7,2,3.2,"Moderate","Humanities","MediumGPA","LowModerate",6
277,5.2,3.7,8.4,4.1,2.6,2.91,"Low","Medicine","MediumGPA","LowModerate",10
278,7,2.6,5.5,3.9,5,2.82,"High","Medicine","LowGPA","High",5
279,10,0.2,9.9,1.6,2.3,3.56,"High","Medicine","HighGPA","High",2
280,7.8,3,9.4,1.5,2.3,3.25,"Moderate","Medicine","MediumGPA","LowModerate",6
281,6.6,2.7,9,4.3,1.4,2.93,"Moderate","Education","MediumGPA","LowModerate",6
282,9.1,0.5,7.7,0,6.7,3.64,"High","Medicine","HighGPA","High",3
283,6.6,1.5,7,4.2,4.7,2.79,"Moderate","Arts & Sciences","LowGPA","LowModerate",4
284,6.2,1.5,6.1,0.4,9.8,2.5,"Moderate","Arts & Sciences","LowGPA","LowModerate",3
285,8,2.7,8.1,2.4,2.8,3.4,"Moderate","Arts & Sciences","HighGPA","LowModerate",2
286,7.6,1.9,5.1,2,7.4,3.08,"High","Humanities","MediumGPA","High",4
287,6.9,1.6,7.9,3.2,4.4,3.31,"Moderate","Medicine","MediumGPA","LowModerate",2
288,9.1,2.9,9.8,0,2.2,3.48,"High","Humanities","HighGPA","High",3
289,6,0,8.2,5.4,4.4,2.92,"Moderate","Education","MediumGPA","LowModerate",2
290,5.3,3.7,6.8,0.6,7.6,2.78,"Low","Medicine","LowGPA","LowModerate",6
291,7.4,1,6.4,1.8,7.4,3.15,"Moderate","Education","MediumGPA","LowModerate",4
292,6.6,2.4,8.6,1.6,4.8,3.27,"Moderate","Communication","MediumGPA","LowModerate",2
293,7.1,0.5,5.9,4.1,6.4,3.09,"High","Humanities","MediumGPA","High",2
294,8.5,0.4,7.8,1.5,5.8,3.01,"High","Humanities","MediumGPA","High",8
295,9.8,1.9,9,1.8,1.5,3.5,"High","Arts & Sciences","HighGPA","High",6
296,9.8,2.4,9.1,2.4,0.3,3.38,"High","Education","HighGPA","High",7
